Policy,Protocol,MessageSizeKB,TransferTimeSeconds,ThroughputKbps
FCFS,tcp,1,5.1208e-05,156226
FCFS,tcp,1,8.6292e-05,92708.5
FCFS,tcp,1,6.4e-05,125000
FCFS,tcp,1,8.3667e-05,95617.1
FCFS,tcp,1,5.4833e-05,145898
FCFS,tcp,1,0.000131833,60682.8
FCFS,tcp,1,8.4583e-05,94581.7
FCFS,tcp,1,8.9833e-05,89054.1
FCFS,tcp,1,9.7209e-05,82296.9
FCFS,tcp,1,8.6084e-05,92932.5
FCFS,tcp,1,6.5292e-05,122526
FCFS,tcp,1,6.4292e-05,124432
FCFS,tcp,1,0.000101666,78689
FCFS,tcp,1,8.2666e-05,96775
FCFS,tcp,1,9.6083e-05,83261.3
FCFS,tcp,1,5.775e-05,138528
FCFS,tcp,1,6.6792e-05,119775
FCFS,tcp,1,9.4084e-05,85030.4
FCFS,tcp,1,6.3833e-05,125327
FCFS,tcp,1,6.7292e-05,118885
FCFS,tcp,1,6.6125e-05,120983
